,FlyFrom,FlyTo,DepartTimeUTC,ArrivalTimeUTC,Price,DataDate
541164,ATL,JFK,2019-09-13 17:49:00,2019-09-13 20:09:00,141,20190706
541174,ATL,JFK,2019-09-12 23:10:00,2019-09-13 01:32:00,141,20190706
541175,ATL,JFK,2019-09-14 16:10:00,2019-09-14 18:32:00,141,20190706
541181,ATL,JFK,2019-09-12 16:10:00,2019-09-12 18:34:00,141,20190706
541190,ATL,JFK,2019-09-13 16:10:00,2019-09-13 18:34:00,141,20190706
541212,ATL,JFK,2019-09-14 21:45:00,2019-09-15 00:13:00,141,20190706
541232,ATL,JFK,2019-09-11 21:45:00,2019-09-12 00:15:00,141,20190706
541541,ATL,JFK,2019-09-09 23:10:00,2019-09-10 01:32:00,186,20190706
541612,ATL,JFK,2019-09-14 14:45:00,2019-09-14 16:57:00,199,20190706
541623,ATL,JFK,2019-09-11 19:05:00,2019-09-11 21:35:00,199,20190706
541722,ATL,JFK,2019-09-14 19:05:00,2019-09-14 21:31:00,200,20190706
541745,ATL,JFK,2019-09-12 19:05:00,2019-09-12 21:35:00,200,20190706
541747,ATL,JFK,2019-09-13 19:05:00,2019-09-13 21:35:00,200,20190706
541751,ATL,JFK,2019-09-10 21:45:00,2019-09-11 00:15:00,200,20190706
541951,ATL,JFK,2019-09-13 23:10:00,2019-09-14 01:32:00,262,20190706
541991,ATL,JFK,2019-09-12 21:45:00,2019-09-13 00:15:00,262,20190706
542000,ATL,JFK,2019-09-13 21:45:00,2019-09-14 00:15:00,262,20190706
542004,ATL,JFK,2019-09-10 19:05:00,2019-09-10 21:35:00,262,20190706
548048,ATL,LGA,2019-09-10 16:30:00,2019-09-10 18:42:00,106,20190706
548049,ATL,LGA,2019-09-10 17:30:00,2019-09-10 19:42:00,106,20190706
548065,ATL,LGA,2019-09-10 15:30:00,2019-09-10 17:43:00,106,20190706
548082,ATL,LGA,2019-09-14 23:35:00,2019-09-15 01:50:00,106,20190706
548112,ATL,LGA,2019-09-11 00:02:00,2019-09-11 02:20:00,106,20190706
548123,ATL,LGA,2019-09-10 21:30:00,2019-09-10 23:50:00,106,20190706
548130,ATL,LGA,2019-09-14 15:45:00,2019-09-14 18:06:00,106,20190706
548137,ATL,LGA,2019-09-10 20:30:00,2019-09-10 22:52:00,106,20190706
548181,ATL,LGA,2019-09-14 14:30:00,2019-09-14 16:38:00,107,20190706
548261,ATL,LGA,2019-09-14 17:45:00,2019-09-14 19:55:00,107,20190706
548266,ATL,LGA,2019-09-11 13:30:00,2019-09-11 15:40:00,107,20190706
548282,ATL,LGA,2019-09-11 14:30:00,2019-09-11 16:40:00,107,20190706
548284,ATL,LGA,2019-09-12 14:30:00,2019-09-12 16:40:00,107,20190706
548357,ATL,LGA,2019-09-10 01:30:00,2019-09-10 03:41:00,107,20190706
548360,ATL,LGA,2019-09-13 01:30:00,2019-09-13 03:41:00,107,20190706
548367,ATL,LGA,2019-09-12 01:30:00,2019-09-12 03:41:00,107,20190706
548371,ATL,LGA,2019-09-14 01:30:00,2019-09-14 03:41:00,107,20190706
548402,ATL,LGA,2019-09-13 16:30:00,2019-09-13 18:42:00,107,20190706
548410,ATL,LGA,2019-09-13 17:30:00,2019-09-13 19:42:00,107,20190706
548414,ATL,LGA,2019-09-12 16:30:00,2019-09-12 18:42:00,107,20190706
548419,ATL,LGA,2019-09-12 17:40:00,2019-09-12 19:52:00,107,20190706
548427,ATL,LGA,2019-09-11 16:30:00,2019-09-11 18:42:00,107,20190706
548434,ATL,LGA,2019-09-11 17:30:00,2019-09-11 19:42:00,107,20190706
548465,ATL,LGA,2019-09-14 19:30:00,2019-09-14 21:43:00,107,20190706
548468,ATL,LGA,2019-09-14 12:30:00,2019-09-14 14:43:00,107,20190706
548474,ATL,LGA,2019-09-10 18:30:00,2019-09-10 20:43:00,107,20190706
548475,ATL,LGA,2019-09-13 18:30:00,2019-09-13 20:43:00,107,20190706
548476,ATL,LGA,2019-09-14 00:30:00,2019-09-14 02:43:00,107,20190706
548488,ATL,LGA,2019-09-11 15:30:00,2019-09-11 17:43:00,107,20190706
548489,ATL,LGA,2019-09-13 00:30:00,2019-09-13 02:43:00,107,20190706
548494,ATL,LGA,2019-09-11 18:30:00,2019-09-11 20:43:00,107,20190706
548518,ATL,LGA,2019-09-10 00:30:00,2019-09-10 02:43:00,107,20190706
548601,ATL,LGA,2019-09-10 23:30:00,2019-09-11 01:46:00,107,20190706
548602,ATL,LGA,2019-09-13 23:30:00,2019-09-14 01:46:00,107,20190706
548603,ATL,LGA,2019-09-09 23:30:00,2019-09-10 01:46:00,107,20190706
548615,ATL,LGA,2019-09-12 23:30:00,2019-09-13 01:46:00,107,20190706
548619,ATL,LGA,2019-09-11 23:30:00,2019-09-12 01:46:00,107,20190706
548621,ATL,LGA,2019-09-11 12:30:00,2019-09-11 14:46:00,107,20190706
548628,ATL,LGA,2019-09-13 19:30:00,2019-09-13 21:47:00,107,20190706
